Gene_Name,Ramadoss_Neuron,Ramadoss_Neuron,Ramadoss_Neuron,Tian_Neuron,Tian_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Rummel_Neuron
AC006262,0,1,0,0,0,2,0,4,3,2,1,0,0,0,0,0,0
AC006326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006461,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0
AC006466,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
AC006483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
AC006538,43,41,55,11,20,1,5,13,15,10,5,40,17,10,0,0,24
AC006539,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC006548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006960,1,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0
AC006978,99,103,94,13,31,44,51,61,93,56,64,154,292,54,6,57,37
AC006989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006994,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0
AC007000,0,0,0,0,0,1,1,0,1,0,0,8,16,0,0,0,2
AC007016,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0
AC007040,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
AC007041,1,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0
AC007064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007161,1,0,1,0,1,1,0,0,0,0,0,8,7,8,0,0,3
AC007192,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,18,0
AC007204,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AC007229,6,6,4,5,0,2,2,1,0,0,0,0,0,0,0,1,0
AC007237,0,0,0,1,0,0,1,0,0,0,0,0,10,0,0,0,0
AC007238,5,3,2,6,7,4,2,1,0,1,1,0,17,0,0,0,23
AC007253,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007256,2,7,3,2,0,13,3,4,7,5,17,26,47,6,9,3,7
AC007272,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
AC007274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007279,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AC007283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007318,2,5,7,0,1,11,17,22,24,13,17,0,14,0,0,0,1
AC007322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007326,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2,0,0
AC007327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007347,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007365,6,0,0,0,0,0,2,3,0,2,6,0,0,0,0,0,2
AC007383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
AC007386,1,1,1,0,0,5,2,2,1,1,0,8,0,0,0,0,5
AC007387,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
